cycle,request_id,global_flow_id,size_bytes
0,1,1,48
3,2,2,48
5,3,3,48
8,4,4,48
11,5,1,48
14,6,2,48
16,7,3,48
19,8,4,48
22,9,1,48
25,10,2,48
27,11,3,48
30,12,4,48
33,13,1,48
36,14,2,48
38,15,3,48
41,16,4,48
44,17,1,48
47,18,2,48
49,19,3,48
52,20,4,48
55,21,1,48
58,22,2,48
60,23,3,48
63,24,4,48
65,25,1,48
68,26,2,48
70,27,3,48
73,28,4,48
76,29,1,48
79,30,2,48
81,31,3,48
84,32,4,48
87,33,1,48
90,34,2,48
92,35,3,48
95,36,4,48
98,37,1,48
101,38,2,48
103,39,3,48
106,40,4,48
109,41,1,48
112,42,2,48
114,43,3,48
117,44,4,48
120,45,1,48
123,46,2,48
125,47,3,48
128,48,4,48
131,49,1,48
134,50,2,48
136,51,3,48
139,52,4,48
142,53,1,48
145,54,2,48
147,55,3,48
150,56,4,48
153,57,1,48
156,58,2,48
158,59,3,48
161,60,4,48
164,61,1,48
167,62,2,48
169,63,3,48
172,64,4,48
175,65,1,48
178,66,2,48
180,67,3,48
183,68,4,48
185,69,1,48
188,70,2,48
190,71,3,48
193,72,4,48
196,73,1,48
199,74,2,48
201,75,3,48
204,76,4,48
207,77,1,48
210,78,2,48
212,79,3,48
215,80,4,48
218,81,1,48
221,82,2,48
223,83,3,48
226,84,4,48
229,85,1,48
232,86,2,48
234,87,3,48
237,88,4,48
240,89,1,48
243,90,2,48
245,91,3,48
248,92,4,48
251,93,1,48
254,94,2,48
256,95,3,48
259,96,4,48
262,97,1,48
265,98,2,48
267,99,3,48
270,100,4,48
273,101,1,48
276,102,2,48
278,103,3,48
281,104,4,48
284,105,1,48
287,106,2,48
289,107,3,48
292,108,4,48
295,109,1,48
298,110,2,48
300,111,3,48
303,112,4,48
305,113,1,48
308,114,2,48
310,115,3,48
313,116,4,48
316,117,1,48
319,118,2,48
321,119,3,48
324,120,4,48
327,121,1,48
330,122,2,48
332,123,3,48
335,124,4,48
338,125,1,48
341,126,2,48
343,127,3,48
346,128,4,48
349,129,1,48
352,130,2,48
354,131,3,48
357,132,4,48
360,133,1,48
363,134,2,48
365,135,3,48
368,136,4,48
371,137,1,48
374,138,2,48
376,139,3,48
379,140,4,48
382,141,1,48
385,142,2,48
387,143,3,48
390,144,4,48
393,145,1,48
396,146,2,48
398,147,3,48
401,148,4,48
404,149,1,48
407,150,2,48
409,151,3,48
412,152,4,48
415,153,1,48
418,154,2,48
420,155,3,48
423,156,4,48
425,157,1,48
428,158,2,48
430,159,3,48
433,160,4,48
436,161,1,48
439,162,2,48
441,163,3,48
444,164,4,48
447,165,1,48
450,166,2,48
452,167,3,48
455,168,4,48
458,169,1,48
461,170,2,48
463,171,3,48
466,172,4,48
469,173,1,48
472,174,2,48
474,175,3,48
477,176,4,48
480,177,1,48
483,178,2,48
485,179,3,48
488,180,4,48
491,181,1,48
494,182,2,48
496,183,3,48
499,184,4,48
502,185,1,48
505,186,2,48
507,187,3,48
510,188,4,48
513,189,1,48
516,190,2,48
518,191,3,48
521,192,4,48
524,193,1,48
