platform,vflows,resource,unit,static_rio,replay_rio,pifo_one,pifo_count,pifo_total,static,replay,absolute_change,percent_change,percent_denominator,measurement_kind
quartus,1024,logic_alms,ALMs,249166,355832,58215.0,5,291075.0,540241.0,646907.0,106666,19.74415122139934,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,1024,logic_aluts,ALUTs,257723,446357,98360.0,5,491800.0,749523.0,938157.0,188634,25.167206343234298,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,1024,registers,bits,145293,268415,31799.0,5,158995.0,304288.0,427410.0,123122,40.462325165632556,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,1024,block_memory_bits,bits,880804632,1426719512,0.0,5,0.0,880804632.0,1426719512.0,545914880,61.979110936373914,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,1024,mlab_memory_bits,bits,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,1024,dsp_blocks,blocks,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,1024,logic_luts,LUTs,219107,308796,121638.0,5,608190.0,827297.0,916986.0,89689,10.841209384296087,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,1024,registers,bits,84909,73815,31846.0,5,159230.0,244139.0,233045.0,-11094,-4.54413264574689,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,1024,bram36_tiles,tiles,35850.0,51230.5,0.0,5,0.0,35850.0,51230.5,15380.5,42.9023709902371,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,1024,uram288_blocks,blocks,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,1024,bram_uram_allocated_bits,bits,1321574400,1888561152,0.0,5,0.0,1321574400.0,1888561152.0,566986752,42.9023709902371,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,1024,lutram_luts,LUTs,824,824,0.0,5,0.0,824.0,824.0,0,0.0,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,1024,dsp_blocks,blocks,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
