platform,resource,short_latency,long_latency,short_resource,long_resource,absolute_change
quartus,logic_alms,1,8,359,359,0
quartus,logic_aluts,1,8,286,285,-1
quartus,registers,1,8,7,84,77
quartus,block_memory_bits,1,8,1310720,1310720,0
quartus,mlab_memory_bits,1,8,0,0,0
quartus,dsp_blocks,1,8,0,0,0
vivado,logic_luts,1,8,102,111,9
vivado,registers,1,8,3,20,17
vivado,bram36_tiles,1,8,36.0,36.0,0.0
vivado,uram288_blocks,1,8,0,0,0
vivado,bram_uram_allocated_bits,1,8,1327104,1327104,0
vivado,lutram_luts,1,8,0,10,10
vivado,dsp_blocks,1,8,0,0,0
