request_id,flow,flow_name,size_bytes,push_cycle,pop_cycle,delay_cycles,dropped
1,1,zoom,48,0,20,20,false
2,2,gmail,48,0,27,27,false
3,2,gmail,48,4,34,30,false
4,1,zoom,48,8,24,16,false
5,2,gmail,48,8,41,33,false
6,2,gmail,48,11,48,37,false
7,1,zoom,48,15,31,16,false
8,2,gmail,48,15,55,40,false
9,2,gmail,48,19,61,42,false
10,1,zoom,48,22,38,16,false
11,2,gmail,48,22,64,42,false
12,2,gmail,48,26,71,45,false
13,1,zoom,48,30,45,15,false
14,2,gmail,48,30,78,48,false
15,2,gmail,48,34,85,51,false
16,1,zoom,48,38,51,13,false
17,2,gmail,48,38,91,53,false
18,2,gmail,48,41,94,53,false
19,1,zoom,48,45,58,13,false
20,2,gmail,48,45,101,56,false
21,2,gmail,48,49,108,59,false
22,1,zoom,48,52,68,16,false
23,2,gmail,48,52,115,63,false
24,2,gmail,48,56,121,65,false
25,1,zoom,48,60,75,15,false
26,2,gmail,48,60,124,64,false
27,2,gmail,48,64,131,67,false
28,1,zoom,48,68,81,13,false
29,2,gmail,48,68,138,70,false
30,2,gmail,48,71,145,74,false
31,1,zoom,48,75,88,13,false
32,2,gmail,48,75,151,76,false
33,2,gmail,48,79,154,75,false
34,1,zoom,48,82,98,16,false
35,2,gmail,48,82,161,79,false
36,2,gmail,48,86,168,82,false
37,1,zoom,48,90,105,15,false
38,2,gmail,48,90,175,85,false
39,2,gmail,48,94,181,87,false
40,1,zoom,48,98,111,13,false
41,2,gmail,48,98,184,86,false
42,2,gmail,48,101,191,90,false
43,1,zoom,48,105,118,13,false
44,2,gmail,48,105,198,93,false
45,2,gmail,48,109,205,96,false
46,1,zoom,48,112,128,16,false
47,2,gmail,48,112,211,99,false
48,2,gmail,48,116,214,98,false
49,1,zoom,48,120,135,15,false
50,2,gmail,48,120,221,101,false
51,2,gmail,48,124,228,104,false
52,1,zoom,48,128,141,13,false
53,2,gmail,48,128,235,107,false
54,2,gmail,48,131,241,110,false
55,1,zoom,48,135,148,13,false
56,2,gmail,48,135,244,109,false
57,2,gmail,48,139,251,112,false
58,1,zoom,48,142,158,16,false
59,2,gmail,48,142,258,116,false
60,2,gmail,48,146,265,119,false
61,1,zoom,48,150,165,15,false
62,2,gmail,48,150,271,121,false
63,2,gmail,48,154,274,120,false
64,1,zoom,48,158,171,13,false
65,2,gmail,48,158,281,123,false
66,2,gmail,48,161,288,127,false
67,1,zoom,48,165,178,13,false
68,2,gmail,48,165,295,130,false
69,2,gmail,48,169,301,132,false
70,1,zoom,48,172,188,16,false
71,2,gmail,48,172,304,132,false
72,2,gmail,48,176,311,135,false
73,1,zoom,48,180,195,15,false
74,2,gmail,48,180,318,138,false
75,2,gmail,48,184,325,141,false
76,1,zoom,48,188,201,13,false
77,2,gmail,48,188,331,143,false
78,2,gmail,48,191,334,143,false
79,1,zoom,48,195,208,13,false
80,2,gmail,48,195,341,146,false
81,2,gmail,48,199,348,149,false
82,1,zoom,48,202,218,16,false
83,2,gmail,48,202,355,153,false
84,2,gmail,48,206,361,155,false
85,1,zoom,48,210,225,15,false
86,2,gmail,48,210,364,154,false
87,2,gmail,48,214,371,157,false
88,1,zoom,48,218,231,13,false
89,2,gmail,48,218,378,160,false
90,2,gmail,48,221,385,164,false
91,1,zoom,48,225,238,13,false
92,2,gmail,48,225,391,166,false
93,2,gmail,48,229,394,165,false
94,1,zoom,48,232,248,16,false
95,2,gmail,48,232,401,169,false
96,2,gmail,48,236,408,172,false
97,1,zoom,48,240,255,15,false
98,2,gmail,48,240,415,175,false
99,2,gmail,48,244,421,177,false
100,1,zoom,48,248,261,13,false
101,2,gmail,48,248,424,176,false
102,2,gmail,48,251,431,180,false
103,1,zoom,48,255,268,13,false
104,2,gmail,48,255,438,183,false
105,2,gmail,48,259,445,186,false
106,1,zoom,48,262,278,16,false
107,2,gmail,48,262,451,189,false
108,2,gmail,48,266,454,188,false
109,1,zoom,48,270,285,15,false
110,2,gmail,48,270,461,191,false
111,2,gmail,48,274,468,194,false
112,1,zoom,48,278,291,13,false
113,2,gmail,48,278,475,197,false
114,2,gmail,48,281,481,200,false
115,1,zoom,48,285,298,13,false
116,2,gmail,48,285,484,199,false
117,2,gmail,48,289,491,202,false
118,1,zoom,48,292,308,16,false
119,2,gmail,48,292,498,206,false
120,2,gmail,48,296,505,209,false
121,1,zoom,48,300,315,15,false
122,2,gmail,48,300,511,211,false
123,2,gmail,48,304,514,210,false
124,1,zoom,48,308,321,13,false
125,2,gmail,48,308,521,213,false
126,2,gmail,48,311,528,217,false
127,1,zoom,48,315,328,13,false
128,2,gmail,48,315,535,220,false
129,2,gmail,48,319,541,222,false
130,1,zoom,48,322,338,16,false
131,2,gmail,48,322,544,222,false
132,2,gmail,48,326,551,225,false
133,1,zoom,48,330,345,15,false
134,2,gmail,48,330,558,228,false
135,2,gmail,48,334,565,231,false
136,1,zoom,48,338,351,13,false
137,2,gmail,48,338,571,233,false
138,2,gmail,48,341,574,233,false
139,1,zoom,48,345,358,13,false
140,2,gmail,48,345,581,236,false
141,2,gmail,48,349,588,239,false
142,1,zoom,48,352,368,16,false
143,2,gmail,48,352,595,243,false
144,2,gmail,48,356,601,245,false
145,1,zoom,48,360,375,15,false
146,2,gmail,48,360,604,244,false
147,2,gmail,48,364,611,247,false
148,1,zoom,48,368,381,13,false
149,2,gmail,48,368,618,250,false
150,2,gmail,48,371,625,254,false
151,1,zoom,48,375,388,13,false
152,2,gmail,48,375,631,256,false
153,2,gmail,48,379,634,255,false
154,1,zoom,48,382,398,16,false
155,2,gmail,48,382,641,259,false
156,2,gmail,48,386,648,262,false
157,1,zoom,48,390,405,15,false
158,2,gmail,48,390,655,265,false
159,2,gmail,48,394,661,267,false
160,1,zoom,48,398,411,13,false
161,2,gmail,48,398,664,266,false
162,2,gmail,48,401,671,270,false
163,1,zoom,48,405,418,13,false
164,2,gmail,48,405,678,273,false
165,2,gmail,48,409,685,276,false
166,1,zoom,48,412,428,16,false
167,2,gmail,48,412,691,279,false
