platform,vflows,configuration,resource,unit,value,source,rio_only,pifo_one,pifo_count,pifo_total,pifo_source,measurement_kind
quartus,1024,static,logic_alms,ALMs,843694,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json,551794,58380,5,291900,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,1024,replay,logic_alms,ALMs,945926,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json,654026,58380,5,291900,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,1024,static,logic_aluts,ALUTs,1237899,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json,746094,98361,5,491805,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,1024,replay,logic_aluts,ALUTs,1662325,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json,1170520,98361,5,491805,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,1024,static,registers,bits,662551,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json,503501,31810,5,159050,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,1024,replay,registers,bits,980121,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json,821071,31810,5,159050,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,1024,static,block_memory_bits,bits,374640,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json,374640,0,5,0,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,1024,replay,block_memory_bits,bits,558960,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json,558960,0,5,0,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,1024,static,mlab_memory_bits,bits,0,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,1024,replay,mlab_memory_bits,bits,0,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,1024,static,dsp_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,1024,replay,dsp_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,logic_luts,LUTs,1209743,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json,578413,126266,5,631330,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,logic_luts,LUTs,1440373,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json,809043,126266,5,631330,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,registers,bits,733507,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json,574237,31854,5,159270,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,registers,bits,979377,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json,820107,31854,5,159270,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,bram36_tiles,tiles,21.0,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json,21.0,0.0,5,0.0,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,bram36_tiles,tiles,28.5,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json,28.5,0.0,5,0.0,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,uram288_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,uram288_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,bram_uram_allocated_bits,bits,774144,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json,774144,0,5,0,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,sum_of_synthesized_components
