cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
2020,accepted,UpdateBrainEngine,1,1,0,4,
2021,accepted,UpdateRankQuantum,1,1,1,60,
2022,accepted,UpdateBrainEngine,2,1,0,2,
2022,dispatched,UpdateBrainEngine,1,1,0,4,
2023,accepted,UpdateRankGroup,1,1,1,1,
2023,dispatched,UpdateRankQuantum,1,1,1,60,
2024,accepted,UpdateBrainEngine,3,1,0,3,
2024,dispatched,UpdateBrainEngine,2,1,0,2,
2025,accepted,UpdateBrainFlowState,2,1,257,1,
2025,dispatched,UpdateRankGroup,1,1,1,1,
2026,accepted,UpdateRankGroup,1,1,2,1,
2026,dispatched,UpdateBrainEngine,3,1,0,3,
2027,accepted,UpdateBrainEngine,3,2,0,3,
2027,dispatched,UpdateBrainFlowState,2,1,257,1,
2028,accepted,UpdateBrainFlowState,2,1,258,2,
2028,dispatched,UpdateRankGroup,1,1,2,1,
2029,accepted,UpdateRankQuantum,1,1,2,120,
2029,dispatched,UpdateBrainEngine,3,2,0,3,
2030,accepted,UpdateBrainEngine,2,2,0,4,
2030,dispatched,UpdateBrainFlowState,2,1,258,2,
2031,accepted,UpdateRankGroup,1,1,3,2,
2031,dispatched,UpdateRankQuantum,1,1,2,120,
2032,accepted,UpdateBrainEngine,3,3,0,3,
2032,dispatched,UpdateBrainEngine,2,2,0,4,
2033,accepted,UpdateRankGroup,2,2,3,3,
2033,dispatched,UpdateRankGroup,1,1,3,2,
2034,accepted,UpdateRankQuantum,2,2,3,120,
2034,dispatched,UpdateBrainEngine,3,3,0,3,
2035,accepted,UpdateRankGroup,1,1,4,2,
2035,dispatched,UpdateRankGroup,2,2,3,3,
2036,accepted,UpdateBrainEngine,3,4,0,3,
2036,dispatched,UpdateRankQuantum,2,2,3,120,
2037,accepted,UpdateRankGroup,2,2,4,4,
2037,dispatched,UpdateRankGroup,1,1,4,2,
2038,accepted,UpdateRankQuantum,2,2,4,120,
2038,dispatched,UpdateBrainEngine,3,4,0,3,
2039,accepted,UpdateRankQuantum,1,1,3,120,
2039,dispatched,UpdateRankGroup,2,2,4,4,
2040,accepted,UpdateBrainEngine,2,3,0,4,
2040,dispatched,UpdateRankQuantum,2,2,4,120,
2041,accepted,UpdateRankGroup,1,1,5,3,
2041,dispatched,UpdateRankQuantum,1,1,3,120,
2042,accepted,UpdateBrainEngine,3,5,0,3,
2042,dispatched,UpdateBrainEngine,2,3,0,4,
2043,accepted,UpdateRankGroup,2,3,5,5,
2043,dispatched,UpdateRankGroup,1,1,5,3,
2044,accepted,UpdateRankQuantum,2,3,5,120,
2044,dispatched,UpdateBrainEngine,3,5,0,3,
2045,accepted,UpdateRankGroup,1,1,6,3,
2045,dispatched,UpdateRankGroup,2,3,5,5,
2046,accepted,UpdateBrainEngine,3,6,0,3,
2046,dispatched,UpdateRankQuantum,2,3,5,120,
2047,accepted,UpdateRankGroup,2,3,6,6,
2047,dispatched,UpdateRankGroup,1,1,6,3,
2048,accepted,UpdateRankQuantum,2,3,6,60,
2048,dispatched,UpdateBrainEngine,3,6,0,3,
2049,accepted,UpdateRankQuantum,1,1,4,120,
2049,dispatched,UpdateRankGroup,2,3,6,6,
2050,accepted,UpdateBrainEngine,2,4,0,2,
2050,dispatched,UpdateRankQuantum,2,3,6,60,
2051,accepted,UpdateRankGroup,1,1,7,4,
2051,dispatched,UpdateRankQuantum,1,1,4,120,
2052,accepted,UpdateBrainEngine,3,7,0,3,
2052,dispatched,UpdateBrainEngine,2,4,0,2,
2053,accepted,UpdateBrainFlowState,2,4,263,1,
2053,dispatched,UpdateRankGroup,1,1,7,4,
2054,accepted,UpdateRankGroup,1,1,8,4,
2054,dispatched,UpdateBrainEngine,3,7,0,3,
2055,accepted,UpdateBrainEngine,3,8,0,3,
2055,dispatched,UpdateBrainFlowState,2,4,263,1,
2056,accepted,UpdateBrainFlowState,2,4,264,2,
2056,dispatched,UpdateRankGroup,1,1,8,4,
2057,accepted,UpdateRankQuantum,1,1,5,120,
2057,dispatched,UpdateBrainEngine,3,8,0,3,
2058,accepted,UpdateBrainEngine,2,5,0,4,
2058,dispatched,UpdateBrainFlowState,2,4,264,2,
2059,accepted,UpdateRankGroup,1,1,9,5,
2059,dispatched,UpdateRankQuantum,1,1,5,120,
2060,accepted,UpdateBrainEngine,3,9,0,3,
2060,dispatched,UpdateBrainEngine,2,5,0,4,
2061,accepted,UpdateRankGroup,2,5,9,9,
2061,dispatched,UpdateRankGroup,1,1,9,5,
2062,accepted,UpdateRankQuantum,2,5,9,120,
2062,dispatched,UpdateBrainEngine,3,9,0,3,
2063,accepted,UpdateRankGroup,1,1,10,5,
2063,dispatched,UpdateRankGroup,2,5,9,9,
