platform,vflows,resource,unit,static_rio,replay_rio,pifo_one,pifo_count,pifo_total,static,replay,absolute_change,percent_change,percent_denominator,measurement_kind
quartus,1024,logic_alms,ALMs,301224,408590,58380,5,291900,593124,700490,107366,18.101779729027996,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,1024,logic_aluts,ALUTs,276168,460451,98361,5,491805,767973,952256,184283,23.996025901952283,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,1024,registers,bits,166345,289435,31810,5,159050,325395,448485,123090,37.827870741713916,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,1024,block_memory_bits,bits,880804464,1426063984,0,5,0,880804464,1426063984,545259520,61.90471804874958,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,1024,mlab_memory_bits,bits,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,1024,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,1024,logic_luts,LUTs,263973,292886,126266,5,631330,895303,924216,28913,3.229409484833626,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,1024,registers,bits,83592,83987,31854,5,159270,242862,243257,395,0.16264380594741046,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,1024,bram36_tiles,tiles,35851.0,51213.5,0.0,5,0.0,35851.0,51213.5,15362.5,42.85096650023709,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,1024,uram288_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,1024,bram_uram_allocated_bits,bits,1321611264,1887934464,0,5,0,1321611264,1887934464,566323200,42.85096650023709,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,1024,lutram_luts,LUTs,788,788,0,5,0,788,788,0,0.0,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,1024,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
