cycle,request_id,global_flow_id,size_bytes
0,1,1,48
3,2,2,48
5,3,3,48
8,4,4,48
11,5,5,48
14,6,6,48
16,7,7,48
19,8,8,48
22,9,1,48
25,10,2,48
27,11,3,48
30,12,4,48
33,13,5,48
36,14,6,48
38,15,7,48
41,16,8,48
44,17,1,48
47,18,2,48
49,19,3,48
52,20,4,48
55,21,5,48
58,22,6,48
60,23,7,48
63,24,8,48
65,25,1,48
68,26,2,48
70,27,3,48
73,28,4,48
76,29,5,48
79,30,6,48
81,31,7,48
84,32,8,48
87,33,1,48
90,34,2,48
92,35,3,48
95,36,4,48
98,37,5,48
101,38,6,48
103,39,7,48
106,40,8,48
109,41,1,48
112,42,2,48
114,43,3,48
117,44,4,48
120,45,5,48
123,46,6,48
125,47,7,48
128,48,8,48
131,49,1,48
134,50,2,48
136,51,3,48
139,52,4,48
142,53,5,48
145,54,6,48
147,55,7,48
150,56,8,48
153,57,1,48
156,58,2,48
158,59,3,48
161,60,4,48
164,61,5,48
167,62,6,48
169,63,7,48
172,64,8,48
175,65,1,48
178,66,2,48
180,67,3,48
183,68,4,48
186,69,5,48
189,70,6,48
191,71,7,48
194,72,8,48
196,73,1,48
199,74,2,48
201,75,3,48
204,76,4,48
207,77,5,48
210,78,6,48
212,79,7,48
215,80,8,48
218,81,1,48
221,82,2,48
223,83,3,48
226,84,4,48
229,85,5,48
232,86,6,48
234,87,7,48
237,88,8,48
240,89,1,48
243,90,2,48
245,91,3,48
248,92,4,48
251,93,5,48
254,94,6,48
256,95,7,48
259,96,8,48
262,97,1,48
265,98,2,48
267,99,3,48
270,100,4,48
273,101,5,48
276,102,6,48
278,103,7,48
281,104,8,48
284,105,1,48
287,106,2,48
289,107,3,48
292,108,4,48
295,109,5,48
298,110,6,48
300,111,7,48
303,112,8,48
305,113,1,48
308,114,2,48
310,115,3,48
313,116,4,48
316,117,5,48
319,118,6,48
321,119,7,48
324,120,8,48
327,121,1,48
330,122,2,48
332,123,3,48
335,124,4,48
338,125,5,48
341,126,6,48
343,127,7,48
346,128,8,48
349,129,1,48
352,130,2,48
354,131,3,48
357,132,4,48
360,133,5,48
363,134,6,48
365,135,7,48
368,136,8,48
371,137,1,48
374,138,2,48
376,139,3,48
379,140,4,48
382,141,5,48
385,142,6,48
387,143,7,48
390,144,8,48
393,145,1,48
396,146,2,48
398,147,3,48
401,148,4,48
404,149,5,48
407,150,6,48
409,151,7,48
412,152,8,48
415,153,1,48
418,154,2,48
420,155,3,48
423,156,4,48
426,157,5,48
429,158,6,48
431,159,7,48
434,160,8,48
436,161,1,48
439,162,2,48
441,163,3,48
444,164,4,48
447,165,5,48
450,166,6,48
452,167,7,48
455,168,8,48
458,169,1,48
461,170,2,48
463,171,3,48
466,172,4,48
469,173,5,48
472,174,6,48
474,175,7,48
477,176,8,48
480,177,1,48
483,178,2,48
485,179,3,48
488,180,4,48
491,181,5,48
494,182,6,48
496,183,7,48
499,184,8,48
502,185,1,48
505,186,2,48
507,187,3,48
510,188,4,48
513,189,5,48
516,190,6,48
518,191,7,48
521,192,8,48
524,193,1,48
